id,keyword,location,text,target,text_clean
0,ablaze,,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,communal violence in bhainsa telangana stones were pelted on muslims houses and some houses and vehicles were set ablaze
1,ablaze,,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,telangana section has been imposed in bhainsa from january to after clash erupted between two groups on january po
2,ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,arsonist sets cars ablaze at dealership
3,ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,arsonist sets cars ablaze at dealership
4,ablaze,,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,lord jesus your love brings freedom and pardon fill me with your holy spirit and set my heart ablaze with your l
5,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,if this child was chinese this tweet would have gone viral social media would be ablaze snl would have made a racist j
6,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,several houses have been set ablaze in ngemsibaa village oku sub division in the north west region of cameroon by
7,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,asansol a bjp office in salanpur village was set ablaze last night bjp has alleged that tmc is behind the incident police has b
8,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,national security minister kan dapaah s side chic has set the internet ablaze with her latest powerful video
9,ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,this creature who s soul is no longer clarent but blue ablaze this thing carrying memories memories of
10,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,images showing the havoc caused by the cameroon military as they torched houses in oku the shameless military is reported
11,ablaze,,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,social media went bananas after chuba hubbard announced monday evening his plans to return to okstate
12,ablaze,,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,hausa youths set area office of apapa iganmu local council development area ablaze okada riders stormed the lg area office
13,ablaze,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,under mamatabanerjee political violence amp vandalism continues to unabated in west bengal office in asanol was
14,ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,amen set the whole system ablaze man
